GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
41357.84,558713.2,14.22,11.81,0,3,0,0,23
41357.84,520507.2,22.02,8.43,1,3,0,1,23
41357.84,520507.2,6.95,14.96,2,3,0,1,23
41357.84,520507.2,14.22,11.81,0,3,0,1,23
42858.45,607623.3,22.15,8.59,1,4,0,0,23
42858.45,607623.3,7.02,14.47,2,4,0,0,23
42858.45,607623.3,14.29,11.64,0,4,0,0,23
42858.45,553317.6,22.15,8.59,1,4,0,1,23
42858.45,553317.6,7.02,14.47,2,4,0,1,23
42858.45,553317.6,14.29,11.64,0,4,0,1,23
3647777.59,1151670,38.13,8.11,1,1,0,0,19
3647777.59,1151670,9.03,13.88,2,1,0,0,19
3647777.59,1151670,22.57,11.2,0,1,0,0,19
3647777.59,1433978,38.13,8.11,1,1,0,1,19
3647777.59,1433978,9.03,13.88,2,1,0,1,19
3647777.59,1433978,22.57,11.2,0,1,0,1,19
3813669.03,1177082,37.45,7.99,1,0,0,0,19
3813669.03,1177082,9.14,13.54,2,0,0,0,19
3813669.03,1177082,22.33,10.96,0,0,0,0,19
3813669.03,1479837,37.45,7.99,1,0,0,1,19
3813669.03,1479837,9.14,13.54,2,0,0,1,19
3813669.03,1479837,22.33,10.96,0,0,0,1,19
3905507.3,1018362,37.42,7.75,1,2,0,0,19
3905507.3,1018362,9.28,13.38,2,2,0,0,19
3905507.3,1018362,22.4,10.75,0,2,0,0,19
3905507.3,1308044,37.42,7.75,1,2,0,1,19
3905507.3,1308044,9.28,13.38,2,2,0,1,19
3905507.3,1308044,22.4,10.75,0,2,0,1,19
4030399.46,1021871,36.95,7.65,1,3,0,0,19
4030399.46,1021871,9.08,12.84,2,3,0,0,19
4030399.46,1021871,22.08,10.42,0,3,0,0,19
4030399.46,1318238,36.95,7.65,1,3,0,1,19
4030399.46,1318238,9.08,12.84,2,3,0,1,19
4030399.46,1318238,22.08,10.42,0,3,0,1,19
4187585,1132559,36.84,7.55,1,4,0,0,19
