LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
CHN,TRADEGOOD,IMP,MLN_USD,A,2016,1500636,
CHN,TRADEGOOD,IMP,MLN_USD,A,2017,1740312,
IND,TRADEGOOD,EXP,MLN_USD,A,2013,319700.8,
IND,TRADEGOOD,EXP,MLN_USD,A,2014,328381.1,
IND,TRADEGOOD,EXP,MLN_USD,A,2015,272148.5,
IND,TRADEGOOD,EXP,MLN_USD,A,2016,268615.6,
IND,TRADEGOOD,EXP,MLN_USD,A,2017,304165.1,
IND,TRADEGOOD,IMP,MLN_USD,A,2013,480552.7,
IND,TRADEGOOD,IMP,MLN_USD,A,2014,472394.8,
IND,TRADEGOOD,IMP,MLN_USD,A,2015,409143.7,
IND,TRADEGOOD,IMP,MLN_USD,A,2016,376121.4,
IND,TRADEGOOD,IMP,MLN_USD,A,2017,452053.9,
IDN,TRADEGOOD,EXP,MLN_USD,A,2013,182089.2,
IDN,TRADEGOOD,EXP,MLN_USD,A,2014,175292.8,
IDN,TRADEGOOD,EXP,MLN_USD,A,2015,149124.5,
IDN,TRADEGOOD,EXP,MLN_USD,A,2016,144469.8,
IDN,TRADEGOOD,EXP,MLN_USD,A,2017,168853.8,
IDN,TRADEGOOD,IMP,MLN_USD,A,2013,176256,
IDN,TRADEGOOD,IMP,MLN_USD,A,2014,168310.2,
IDN,TRADEGOOD,IMP,MLN_USD,A,2015,135075.9,
IDN,TRADEGOOD,IMP,MLN_USD,A,2016,129151.8,
IDN,TRADEGOOD,IMP,MLN_USD,A,2017,150068.6,
ISR,TRADEGOOD,EXP,MLN_USD,A,2013,63063,
ISR,TRADEGOOD,EXP,MLN_USD,A,2014,64218.7,
ISR,TRADEGOOD,EXP,MLN_USD,A,2015,57203.1,
ISR,TRADEGOOD,EXP,MLN_USD,A,2016,56137,
ISR,TRADEGOOD,EXP,MLN_USD,A,2017,58668.6,
ISR,TRADEGOOD,IMP,MLN_USD,A,2013,70591.7,
ISR,TRADEGOOD,IMP,MLN_USD,A,2014,71032.8,
ISR,TRADEGOOD,IMP,MLN_USD,A,2015,60441.8,
ISR,TRADEGOOD,IMP,MLN_USD,A,2016,63902.1,
ISR,TRADEGOOD,IMP,MLN_USD,A,2017,68611.9,
RUS,TRADEGOOD,EXP,MLN_USD,A,2013,521835.5,
RUS,TRADEGOOD,EXP,MLN_USD,A,2014,496806.1,
RUS,TRADEGOOD,EXP,MLN_USD,A,2015,341419.1,
RUS,TRADEGOOD,EXP,MLN_USD,A,2016,281709,
RUS,TRADEGOOD,EXP,MLN_USD,A,2017,353547.4,
RUS,TRADEGOOD,IMP,MLN_USD,A,2013,341269.2,
RUS,TRADEGOOD,IMP,MLN_USD,A,2014,307875.4,
RUS,TRADEGOOD,IMP,MLN_USD,A,2015,193021.1,
RUS,TRADEGOOD,IMP,MLN_USD,A,2016,191494.3,
RUS,TRADEGOOD,IMP,MLN_USD,A,2017,238125.4,
SVN,TRADEGOOD,EXP,MLN_USD,A,2013,28796.19,
SVN,TRADEGOOD,EXP,MLN_USD,A,2014,30464.71,
SVN,TRADEGOOD,EXP,MLN_USD,A,2015,26666.99,
SVN,TRADEGOOD,EXP,MLN_USD,A,2016,27635.75,
SVN,TRADEGOOD,EXP,MLN_USD,A,2017,32084.06,
SVN,TRADEGOOD,IMP,MLN_USD,A,2013,27855.79,
SVN,TRADEGOOD,IMP,MLN_USD,A,2014,28897.36,
SVN,TRADEGOOD,IMP,MLN_USD,A,2015,25029.41,
SVN,TRADEGOOD,IMP,MLN_USD,A,2016,25936.72,
SVN,TRADEGOOD,IMP,MLN_USD,A,2017,30324.29,
ZAF,TRADEGOOD,EXP,MLN_USD,A,2013,96757.18,
ZAF,TRADEGOOD,EXP,MLN_USD,A,2014,93504.12,
ZAF,TRADEGOOD,EXP,MLN_USD,A,2015,80738.98,
ZAF,TRADEGOOD,EXP,MLN_USD,A,2016,76466.6,
ZAF,TRADEGOOD,EXP,MLN_USD,A,2017,88102.09,
ZAF,TRADEGOOD,IMP,MLN_USD,A,2013,103945.9,
ZAF,TRADEGOOD,IMP,MLN_USD,A,2014,98560.02,
ZAF,TRADEGOOD,IMP,MLN_USD,A,2015,84355.81,
ZAF,TRADEGOOD,IMP,MLN_USD,A,2016,74107.27,
ZAF,TRADEGOOD,IMP,MLN_USD,A,2017,82937.98,
AUS,TRADEGOOD,IMP,MLN_USD,A,2013,246949.7,
AUS,TRADEGOOD,IMP,MLN_USD,A,2014,238300.4,
AUS,TRADEGOOD,IMP,MLN_USD,A,2015,207262.8,
AUS,TRADEGOOD,IMP,MLN_USD,A,2016,198519,
AUS,TRADEGOOD,IMP,MLN_USD,A,2017,220874.9,
EA19,TRADEGOOD,EXP,MLN_USD,A,2013,2536655,
